@RELATION states.csv
@ATTRIBUTE avgAlt REAL
@ATTRIBUTE maxAlt REAL
@ATTRIBUTE curAlt REAL
@ATTRIBUTE fov REAL
@ATTRIBUTE lastAction {explore, shoot, idle}
@ATTRIBUTE life REAL
@ATTRIBUTE class {INSIGHT, NOTINSIGHT}

@DATA
-118.11981,-106.13427,-104.042816,15149.56,explore,4,NOTINSIGHT
-118.0938,-106.13427,-104.042816,15144.507,explore,4,NOTINSIGHT
-118.10742,-106.22815,-104.09044,15155.528,explore,4,NOTINSIGHT
-122.720436,-108.31517,-117.660934,17217.598,explore,4,NOTINSIGHT
-119.17581,-108.24273,-113.80945,17133.184,explore,4,NOTINSIGHT
-119.20492,-107.87914,-113.333275,16930.66,explore,4,NOTINSIGHT
-119.23608,-107.69901,-112.99491,16672.209,explore,4,NOTINSIGHT
-119.18473,-107.68996,-112.79499,16624.52,explore,4,INSIGHT
-118.317696,-108.053635,-112.65264,17314.965,shoot,4,INSIGHT
-119.11872,-107.608215,-113.42773,16876.23,shoot,4,NOTINSIGHT
-118.648575,-107.326675,-114.03222,17366.629,explore,4,NOTINSIGHT
-118.95089,-107.17999,-113.40566,16953.627,explore,4,NOTINSIGHT
-118.93055,-106.60259,-112.91781,16980.68,explore,4,NOTINSIGHT
-118.943535,-106.81887,-112.568146,16871.148,explore,4,NOTINSIGHT
-118.88806,-106.183205,-112.356186,16867.84,explore,4,NOTINSIGHT
-122.12293,-107.174774,-120.68614,21026.043,explore,4,INSIGHT
-120.81104,-106.88302,-117.95986,19288.086,shoot,4,NOTINSIGHT
-120.78976,-109.51298,-117.881165,19348.355,explore,4,NOTINSIGHT
-120.48526,-108.64964,-118.39589,19960.994,explore,4,INSIGHT
-120.448784,-109.35079,-119.56969,21554.312,shoot,4,NOTINSIGHT
-116.5725,-107.187256,-112.61467,19285.117,explore,4,INSIGHT
-117.53751,-107.966774,-114.086586,19887.13,shoot,4,NOTINSIGHT
-119.197815,-107.93936,-112.538864,18021.111,explore,4,INSIGHT
-127.04954,-111.355385,-37.238808,13904.425,explore,12,INSIGHT
-127.453384,-112.57113,-91.39625,9721.672,shoot,10,NOTINSIGHT
-131.10612,-111.67631,-123.90402,13144.765,explore,10,NOTINSIGHT
-132.46146,-112.507126,-130.42645,17537.95,explore,10,INSIGHT
